amendment,filename,compound_name,polarity,area
Amm,210916_Smp_Amm-Surf-Morn-T1-C-noIS-pos.mzML,"Taurine, 2H4",pos,42772.39754712169
Amm,210916_Smp_Amm-Surf-Morn-T10-A-noIS-neg.mzML,"Taurine, 2H4",neg,189731.38733041624
Amm,210916_Smp_Amm-Surf-Morn-T10-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,54117.28543998131
Amm,210916_Smp_Amm-Surf-Morn-T10-A-noIS-pos.mzML,"Taurine, 2H4",pos,68856.31265573854
Amm,210916_Smp_Amm-Surf-Morn-T10-B-noIS-neg.mzML,"Taurine, 2H4",neg,251741.63116358855
Amm,210916_Smp_Amm-Surf-Morn-T10-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,63227.329920247605
Amm,210916_Smp_Amm-Surf-Morn-T10-B-noIS-pos.mzML,"Taurine, 2H4",pos,100318.09080564516
Amm,210916_Smp_Amm-Surf-Morn-T10-C-noIS-neg.mzML,"Taurine, 2H4",neg,163871.4277361747
Amm,210916_Smp_Amm-Surf-Morn-T10-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,41518.69419494482
Amm,210916_Smp_Amm-Surf-Morn-T10-C-noIS-pos.mzML,"Taurine, 2H4",pos,50033.599174912684
Amm,210916_Smp_Amm-Surf-Morn-T26-A-noIS-neg.mzML,"Taurine, 2H4",neg,163356.32097201076
Amm,210916_Smp_Amm-Surf-Morn-T26-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,41509.17880376786
Amm,210916_Smp_Amm-Surf-Morn-T26-A-noIS-pos.mzML,"Taurine, 2H4",pos,47759.71349102968
Amm,210916_Smp_Amm-Surf-Morn-T26-B-noIS-neg.mzML,"Taurine, 2H4",neg,143231.94125210802
Amm,210916_Smp_Amm-Surf-Morn-T26-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,48114.93471636636
Amm,210916_Smp_Amm-Surf-Morn-T26-B-noIS-pos.mzML,"Taurine, 2H4",pos,53663.79746400334
Amm,210916_Smp_Amm-Surf-Morn-T26-C-noIS-neg.mzML,"Taurine, 2H4",neg,170316.5118911599
Amm,210916_Smp_Amm-Surf-Morn-T26-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,43392.51052530368
Amm,210916_Smp_Amm-Surf-Morn-T26-C-noIS-pos.mzML,"Taurine, 2H4",pos,61631.68236312946
Amm,210916_Smp_Amm-Surf-Morn-T3-A-noIS-neg.mzML,"Taurine, 2H4",neg,146815.00550359543
Amm,210916_Smp_Amm-Surf-Morn-T3-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,36709.866186315616
Amm,210916_Smp_Amm-Surf-Morn-T3-A-noIS-pos.mzML,"Taurine, 2H4",pos,52445.196873014735
Amm,210916_Smp_Amm-Surf-Morn-T3-B-noIS-neg.mzML,"Taurine, 2H4",neg,181329.41808978136
Amm,210916_Smp_Amm-Surf-Morn-T3-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,42296.63424543296
Amm,210916_Smp_Amm-Surf-Morn-T3-B-noIS-pos.mzML,"Taurine, 2H4",pos,55286.98820069212
Amm,210916_Smp_Amm-Surf-Morn-T3-C-noIS-neg.mzML,"Taurine, 2H4",neg,231119.7954432352
Amm,210916_Smp_Amm-Surf-Morn-T3-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,57109.85774422587
Amm,210916_Smp_Amm-Surf-Morn-T3-C-noIS-pos.mzML,"Taurine, 2H4",pos,90240.54360022968
Amm,210916_Smp_Amm_Blk_A-noIS-neg.mzML,"Taurine, 2H4",neg,180088.49672161439
Amm,210916_Smp_Amm_Blk_A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,44865.59435653531
Amm,210916_Smp_Amm_Blk_A-noIS-pos.mzML,"Taurine, 2H4",pos,63592.57743983488
Amm,210916_Std_4uMStdsMix1InMatrix_1.mzML,"L-Phenylalanine, 2H8",pos,44719.23715422383
Amm,210916_Std_4uMStdsMix1InMatrix_1.mzML,"Taurine, 2H4",neg,166056.34977035286
Amm,210916_Std_4uMStdsMix1InMatrix_1.mzML,"Taurine, 2H4",pos,38821.47113993531
Amm,210916_Std_4uMStdsMix1InMatrix_2.mzML,"L-Phenylalanine, 2H8",pos,54765.50907796836
Amm,210916_Std_4uMStdsMix1InMatrix_2.mzML,"Taurine, 2H4",neg,263625.7266609691
Amm,210916_Std_4uMStdsMix1InMatrix_2.mzML,"Taurine, 2H4",pos,97262.56540418223
Amm,210916_Std_4uMStdsMix2InMatrix_1.mzML,"L-Phenylalanine, 2H8",pos,46086.311631578654
Amm,210916_Std_4uMStdsMix2InMatrix_1.mzML,"Taurine, 2H4",neg,112104.24420181499
Amm,210916_Std_4uMStdsMix2InMatrix_1.mzML,"Taurine, 2H4",pos,39878.89721555124
Amm,210916_Std_4uMStdsMix2InMatrix_2.mzML,"L-Phenylalanine, 2H8",pos,61586.944669757904
Amm,210916_Std_4uMStdsMix2InMatrix_2.mzML,"Taurine, 2H4",neg,195609.99098049803
Amm,210916_Std_4uMStdsMix2InMatrix_2.mzML,"Taurine, 2H4",pos,98092.35441175872
