filepath,filename,shortname,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T1-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T1-B-wIS.mzML,Nit-Surf-Eve-T1-B.mzML,wIS,neg,Nit,Surf,Eve,T1,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T1-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T1-C-noIS-neg.mzML,Nit-Surf-Eve-T1-C.mzML,noIS,neg,Nit,Surf,Eve,T1,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T1-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T1-C-wIS.mzML,Nit-Surf-Eve-T1-C.mzML,wIS,neg,Nit,Surf,Eve,T1,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T10-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T10-A-noIS-neg.mzML,Nit-Surf-Eve-T10-A.mzML,noIS,neg,Nit,Surf,Eve,T10,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T10-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T10-A-wIS.mzML,Nit-Surf-Eve-T10-A.mzML,wIS,neg,Nit,Surf,Eve,T10,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T10-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T10-B-noIS-neg.mzML,Nit-Surf-Eve-T10-B.mzML,noIS,neg,Nit,Surf,Eve,T10,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T10-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T10-B-wIS.mzML,Nit-Surf-Eve-T10-B.mzML,wIS,neg,Nit,Surf,Eve,T10,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T10-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T10-C-noIS-neg.mzML,Nit-Surf-Eve-T10-C.mzML,noIS,neg,Nit,Surf,Eve,T10,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T10-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T10-C-wIS.mzML,Nit-Surf-Eve-T10-C.mzML,wIS,neg,Nit,Surf,Eve,T10,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T26-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T26-A-noIS-neg.mzML,Nit-Surf-Eve-T26-A.mzML,noIS,neg,Nit,Surf,Eve,T26,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T26-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T26-A-wIS.mzML,Nit-Surf-Eve-T26-A.mzML,wIS,neg,Nit,Surf,Eve,T26,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T26-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T26-B-noIS-neg.mzML,Nit-Surf-Eve-T26-B.mzML,noIS,neg,Nit,Surf,Eve,T26,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T26-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T26-B-wIS.mzML,Nit-Surf-Eve-T26-B.mzML,wIS,neg,Nit,Surf,Eve,T26,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T26-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T26-C-noIS-neg.mzML,Nit-Surf-Eve-T26-C.mzML,noIS,neg,Nit,Surf,Eve,T26,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T26-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T26-C-wIS.mzML,Nit-Surf-Eve-T26-C.mzML,wIS,neg,Nit,Surf,Eve,T26,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T3-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T3-A-noIS-neg.mzML,Nit-Surf-Eve-T3-A.mzML,noIS,neg,Nit,Surf,Eve,T3,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T3-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T3-A-wIS.mzML,Nit-Surf-Eve-T3-A.mzML,wIS,neg,Nit,Surf,Eve,T3,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T3-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T3-B-noIS-neg.mzML,Nit-Surf-Eve-T3-B.mzML,noIS,neg,Nit,Surf,Eve,T3,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T3-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T3-B-wIS.mzML,Nit-Surf-Eve-T3-B.mzML,wIS,neg,Nit,Surf,Eve,T3,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T3-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T3-C-noIS-neg.mzML,Nit-Surf-Eve-T3-C.mzML,noIS,neg,Nit,Surf,Eve,T3,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T3-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T3-C-wIS.mzML,Nit-Surf-Eve-T3-C.mzML,wIS,neg,Nit,Surf,Eve,T3,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T0-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T0-A-noIS-neg.mzML,Nit-Surf-Morn-T0-A.mzML,noIS,neg,Nit,Surf,Morn,T0,A,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T0-A-wIS.mzML,210813_Smp_Nit-Surf-Morn-T0-A-wIS.mzML,Nit-Surf-Morn-T0-A.mzML,wIS,neg,Nit,Surf,Morn,T0,A,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T0-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T0-B-noIS-neg.mzML,Nit-Surf-Morn-T0-B.mzML,noIS,neg,Nit,Surf,Morn,T0,B,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T0-B-wIS.mzML,210813_Smp_Nit-Surf-Morn-T0-B-wIS.mzML,Nit-Surf-Morn-T0-B.mzML,wIS,neg,Nit,Surf,Morn,T0,B,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T0-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Morn-T0-C-noIS-neg.mzML,Nit-Surf-Morn-T0-C.mzML,noIS,neg,Nit,Surf,Morn,T0,C,4,2
mzMLs/neg/210813_Smp_Nit-Surf-Morn-T0-C-wIS.mzML,210813_Smp_Nit-Surf-Morn-T0-C-wIS.mzML,Nit-Surf-Morn-T0-C.mzML,wIS,neg,Nit,Surf,Morn,T0,C,4,2
