filepath,filename,shortname,samp_type,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T1-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T1-A-wIS.mzML,Nit-Surf-Eve-T1-A.mzML,Smp,wIS,pos,Nit,Surf,Eve,T1,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T1-B-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T1-B-noIS-pos.mzML,Nit-Surf-Eve-T1-B.mzML,Smp,noIS,pos,Nit,Surf,Eve,T1,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T1-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T1-B-wIS.mzML,Nit-Surf-Eve-T1-B.mzML,Smp,wIS,pos,Nit,Surf,Eve,T1,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T1-C-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T1-C-noIS-pos.mzML,Nit-Surf-Eve-T1-C.mzML,Smp,noIS,pos,Nit,Surf,Eve,T1,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T1-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T1-C-wIS.mzML,Nit-Surf-Eve-T1-C.mzML,Smp,wIS,pos,Nit,Surf,Eve,T1,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T10-A-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T10-A-noIS-pos.mzML,Nit-Surf-Eve-T10-A.mzML,Smp,noIS,pos,Nit,Surf,Eve,T10,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T10-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T10-A-wIS.mzML,Nit-Surf-Eve-T10-A.mzML,Smp,wIS,pos,Nit,Surf,Eve,T10,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T10-B-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T10-B-noIS-pos.mzML,Nit-Surf-Eve-T10-B.mzML,Smp,noIS,pos,Nit,Surf,Eve,T10,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T10-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T10-B-wIS.mzML,Nit-Surf-Eve-T10-B.mzML,Smp,wIS,pos,Nit,Surf,Eve,T10,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T10-C-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T10-C-noIS-pos.mzML,Nit-Surf-Eve-T10-C.mzML,Smp,noIS,pos,Nit,Surf,Eve,T10,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T10-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T10-C-wIS.mzML,Nit-Surf-Eve-T10-C.mzML,Smp,wIS,pos,Nit,Surf,Eve,T10,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T26-A-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T26-A-noIS-pos.mzML,Nit-Surf-Eve-T26-A.mzML,Smp,noIS,pos,Nit,Surf,Eve,T26,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T26-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T26-A-wIS.mzML,Nit-Surf-Eve-T26-A.mzML,Smp,wIS,pos,Nit,Surf,Eve,T26,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T26-B-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T26-B-noIS-pos.mzML,Nit-Surf-Eve-T26-B.mzML,Smp,noIS,pos,Nit,Surf,Eve,T26,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T26-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T26-B-wIS.mzML,Nit-Surf-Eve-T26-B.mzML,Smp,wIS,pos,Nit,Surf,Eve,T26,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T26-C-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T26-C-noIS-pos.mzML,Nit-Surf-Eve-T26-C.mzML,Smp,noIS,pos,Nit,Surf,Eve,T26,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T26-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T26-C-wIS.mzML,Nit-Surf-Eve-T26-C.mzML,Smp,wIS,pos,Nit,Surf,Eve,T26,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T3-A-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T3-A-noIS-pos.mzML,Nit-Surf-Eve-T3-A.mzML,Smp,noIS,pos,Nit,Surf,Eve,T3,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T3-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T3-A-wIS.mzML,Nit-Surf-Eve-T3-A.mzML,Smp,wIS,pos,Nit,Surf,Eve,T3,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T3-B-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T3-B-noIS-pos.mzML,Nit-Surf-Eve-T3-B.mzML,Smp,noIS,pos,Nit,Surf,Eve,T3,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T3-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T3-B-wIS.mzML,Nit-Surf-Eve-T3-B.mzML,Smp,wIS,pos,Nit,Surf,Eve,T3,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T3-C-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T3-C-noIS-pos.mzML,Nit-Surf-Eve-T3-C.mzML,Smp,noIS,pos,Nit,Surf,Eve,T3,C,5,2
